x,y
-1.7468257582387956,38.550901779522725
-1.7468257582387956,38.550901779522725
-1.7468257582387956,38.550901779522725
-1.7468257582387956,38.550901779522725
-1.7468257582387956,38.550901779522725
-1.7468257582387956,38.550901779522725
-1.7468257582387956,38.550901779522725
-0.447850765392694,39.49466235464087
0.8832696960641826,40.39251444283676
2.2449138608929324,41.24336414964443
2.9366653067554402,41.65083689143144
5.017499162366235,43.25234942410403
4.9740062915559555,43.70404015762391
4.9740062915559555,43.70404015762391
5.641127190376807,44.51312905829551
6.365759902602203,44.85876113221974
7.096314361187559,45.191693980093476
7.096314361187559,45.191693980093476
7.096314361187559,45.191693980093476
7.832568032167774,45.51182618734609
9.32127426359056,46.11330254740512
9.32127426359056,46.11330254740512
9.32127426359056,46.11330254740512
10.073273349693611,46.39446348468562
9.87207498533665,47.740713175491976
9.698911026098187,48.63156451741353
9.698911026098187,48.63156451741353
9.698911026098187,48.63156451741353
11.21705587783137,49.15430371083881
11.21705587783137,49.15430371083881
11.21705587783137,49.15430371083881
11.21705587783137,49.15430371083881
11.01290714192833,50.03856903516843
10.512687682426414,51.7830416033257
10.36870122433466,52.213371765463144
10.36870122433466,52.213371765463144
10.217226399186043,52.641123476044456
9.537400157460045,54.32375246954787
8.95138788764999,55.55235274280528
9.507538997086213,56.1962794067328
9.507538997086213,56.1962794067328
9.507538997086213,56.1962794067328
9.507538997086213,56.1962794067328
9.507538997086213,56.1962794067328
9.507538997086213,56.1962794067328
11.05096133961614,56.638848641730306
11.05096133961614,56.638848641730306
11.05096133961614,56.638848641730306
10.83443631090833,57.037638135701904
9.392277076797829,59.34557535442434
8.58260351905881,60.439786367764256
7.716773011076114,61.49012276305033
7.109520167382474,62.1645453709221
6.155441557217969,63.13542281810207
6.155441557217969,63.13542281810207
5.826281286909001,63.447784251395575
5.151858679037229,64.05503709508922
3.3767404848883427,65.46702986304578
2.633339415523457,65.98756489572823
2.633339415523457,65.98756489572823
1.485313872945449,66.71893782755205
0.3005845577172028,67.38922542362924
-0.1019230814877421,67.59875763819471
-0.1019230814877421,67.59875763819471
-0.1019230814877421,67.59875763819471
-0.1019230814877421,67.59875763819471
-1.6453454240176697,67.1561884031972
-3.1723821118009887,66.66002410646614
-4.681172685855595,66.11086924776885
-5.428150303903736,65.81662693896979
-5.428150303903736,65.81662693896979
-7.636687046843951,64.85632783258347
-9.079809994790933,64.15246974156248
-9.791938894922763,63.7817589004082
-9.791938894922763,63.7817589004082
-10.094981898898341,63.18914394274431
-11.086701319457733,62.16980821792146
-11.27549474062792,60.62809662555658
-10.440457000050044,59.170170191280555
-9.01039570780432,58.05288385862535
-8.652558710523163,56.69619027939205
-7.999739761297885,56.06577034814386
-7.36931983004969,55.41295139891858
-8.022925363355327,54.94673910287254
-7.4776960671129835,53.09956362947124
-6.385537913480437,51.65022080730267
-5.878056298413199,50.89784837256617
-5.166830566598819,49.73723346217547
-4.726853650662125,48.943494094608624
-4.119488602041326,47.725308267433654
-3.41039997606698,46.05480015035327
-2.956021641320234,44.7716753159241
-2.5694195814784493,43.466528634841005
-2.3498693805781095,42.58596087511596
-2.2516534459152773,42.14293742343721
-2.2516534459152773,42.14293742343721
-2.2516534459152773,42.14293742343721
-2.2516534459152773,42.14293742343721
-2.2516534459152773,42.14293742343721
-0.9526784530691756,43.08669799855536
-0.29103594057539794,43.541432298793666
1.0555514643515274,44.41591638445734
1.7400861732164508,44.83539979355891
1.7400861732164508,44.83539979355891
2.5223067696392754,44.798202453874346
3.303759046985906,44.7473591477524
4.084204967322602,44.68288536255664
4.151277899129848,44.23408989647234
4.8634067992616785,44.604800737626626
4.8634067992616785,44.604800737626626
4.8634067992616785,44.604800737626626
6.3065297472086606,45.30865882864761
6.3065297472086606,45.30865882864761
6.3065297472086606,45.30865882864761
6.3065297472086606,45.30865882864761
6.3065297472086606,45.30865882864761
6.3065297472086606,45.30865882864761
6.3065297472086606,45.30865882864761
6.3065297472086606,45.30865882864761
7.037084205794017,45.641591676521344
7.037084205794017,45.641591676521344
7.037084205794017,45.641591676521344
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
7.773337876774232,45.961723883773956
